上班的看过来！鲁班大厦 精装大单间 拎包入住，无中介 独立厨,2440, 景田北,1室1卫 23.00㎡ 南向 精装修 
南山西丽附近，精装修大单间，阳光电梯房,1600, 西丽,1室1卫 20㎡ 南向 精装修 
青莲公寓 1室1厅1卫,3500, 莲花北,1室1厅1卫 34.78㎡ 北向 精装修 
晒布地铁口  独门独户大单间,999, 东门,1室1卫 16㎡ 南向 精装修 
观澜福安阁 一房一厅带大阳台 采光通风好 家私家电齐全可议价,1100, 龙华区政府,1室1厅1卫 42㎡ 南北向 精装修 
可做饭，通风好，交通便利，家私齐，房.东直.租，拎包入住,1450, 车公庙,1室1卫 14㎡ 南北向 精装修 
流塘新村 3室1厅1卫,3500, 宝安,3室1厅3卫 70㎡ 南向 简单装修 
玻璃围新村 1室0厅1卫 1008元月 25平 南北通透,1008, 福永,1室1卫 25㎡ 南向 简单装修 
观澜招商澜园 精装三房89平 轻轨口近地铁 带外龙华国语,4900, 观澜,3室2厅3卫 88.86㎡ 南向 简单装修 
清湖小学旁豪华品牌白领公寓 前后无遮挡 通天然气 押一付一,1700, 清湖,1室1厅1卫 40㎡ 南向 豪华装修 
茶树新村 1室1厅1卫,1980, 西乡,1室1厅1卫 40㎡ 西向 精装修 
溢芳园 2室2厅1卫 4000元月 62平 电梯房,4000, 百鸽笼,2室2厅2卫 62㎡ 西向 简单装修 
离地铁300米 周末活动 签约减免500元 民水民电 精装,1310, 大浪,1室1卫 35㎡ 南向 精装修 
南头关 金鸿凯旋城对面 中南花园 住家大两房 拎包入住,5300, 宝安中心区,2室2厅2卫 89㎡ 南向 精装修 
浪心村 1室1厅1卫,1480, 石岩,1室1厅1卫 35㎡ 南向 精装修 
良心推荐租这套房子很舒适 南北通透 适合一家子人住 采光又好,4200, 上水径,3室2厅3卫 94㎡ 南北向 精装修 
天地峰景园 3室2厅1卫 7500元月 南北通透 86平,7500, 桃源村,3室2厅3卫 86.53㎡ 南北向 精装修 
沙浦二村 1室0厅1卫,650, 宝安,1室1卫 20㎡ 南向 精装修 
房子名称,房子价格,房子地段,房子简介
丹竹头地铁站~时光里，精装齐全1房，家电齐全，朝东视野好！,3300, 丹竹头,1室1厅1卫 48.00㎡ 东向 精装修 
电梯一梯一户！龙园意境别墅区！142平四房！朝南看山景,6800, 慢城,4室2厅4卫 142㎡ 南北向 豪华装修 
近大型商场，周边配套齐全，3房2厅，家电全，拎包入住,6300, 龙华,3室2厅3卫 99㎡ 南北向 精装修 
停车方便 名家富居 精装修两房 家私家电全齐 可直接拎包入住,7000, 南头,2室2厅2卫 78.00㎡ 南北向 精装修 
家和盛世 精装3房 家电全齐 繁华地段,4500, 龙城国际,3室1厅3卫 88㎡ 南向 精装修 
高楼层朝南三房 带12平米花园和主卧衣帽间,10000, 莲塘,3室2厅3卫 138㎡ 南北向 精装修 
居家二房 家私可配 钥匙挂脖上 业主好讲话 看您的需求 ！！,3000, 慢城,2室2厅2卫 58㎡ 南向 精装修 
光明田寮 锦田湾花园 复式空调五房 光桥路旁 可以合租 急租,5200, 公明,5室2厅5卫 113.00㎡ 南向 精装修 
龙胜元芬站 精装修 押一付一 民水民电 无中介 签约有礼,1299, 大浪,1室1卫 31㎡ 南向 精装修 
全新装修电梯公寓 首次出租 领包入住 背靠山景 安静舒适,1380, 清湖,1室1厅1卫 35㎡ 东南向 精装修 
君临天下名苑 超赞豪华装修3居室 家电齐全 拎包入住,15000, 新洲,3室1厅3卫 88.96㎡ 南向 豪华装修 
大浪南路英泰工业园附近精装修单间家电齐全可拎包入住,780, 大浪,1室1卫 26.00㎡ 南向 精装修 
黄贝岭地铁口 华裕花园 90平大2房 大阳台，交通便利,5500, 黄贝岭,2室1厅2卫 90㎡ 南北向 豪华装修 
来福士对面精装两房，楼下五就是地铁口物业，家电齐全！,7500, 南油,2室2厅2卫 60.38㎡ 东北向 精装修 
公明九紫东景 高楼层视野开阔 采光通风好 家私齐全 拎包入住,3400, 公明,3室2厅3卫 126.00㎡ 南向 精装修 
领航城三期 3室1厅1厨1卫 82.0m 整租,6200, 领航城,3室1厅3卫 82.00㎡ 南向 精装修 
5号线翻身地铁 首月免租 质优价廉 停车方便 押一付一,1680, 宝安中心区,1室1卫 26㎡ 南向 精装修 
西头新村 毕业季特惠房 体验不一样的温馨 龙华龙胜上塘4号线,1000, 民治,1室1卫 14㎡ 南北向 精装修 
下沙三坊 1室0厅1卫,1880, 下沙,1室1卫 12㎡ 南北向 豪华装修 
一号线直达科技园 白领的优秀人士看这里 家电齐全 上班方便,1580, 华侨城,1室1卫 15㎡ 南向 精装修 
免中介 4号 6号线双地铁口 1房 全新家私家电 民水民电,1299, 民治,1室1卫 31㎡ 南向 精装修 
万象天成精装四房 地铁口 中楼层 环境优美 生活便利拎包入住,4200, 龙岗中心城,4室2厅4卫 139㎡ 南向 精装修 
宝龙新村 1室0厅1卫,650, 龙华,1室1卫 19㎡ 南北向 精装修 
福田民乐白石龙地铁精装两房一厅，可长短租押一可做饭,1500, 梅林关口,1室1卫 25㎡ 南向 精装修 
马安山地铁口 雅居园 精装3房全齐出租,3300, 马安山,3室2厅3卫 105㎡ 南向 精装修 
置地逸轩 户型方正 一房一厅 拎包入住 手快就有 快抢租,3800, 人民南,1室1厅1卫 39㎡ 西向 精装修 
稔田花园 1室0厅1卫,950, 塘尾,1室1卫 26㎡ 南向 精装修 
布吉 长龙 上水径东区 独栋新房 精装单间一房一厅实图拍摄,1380, 坂田,1室1卫 20㎡ 南向 精装修 
车位充足 楼下商场 豪华大四房全齐出租 南北通 急租随时看房,8100, 新安,4室2厅4卫 122.00㎡ 南向 精装修 
北欧进口高配置家居 南向三房两卫 安静舒适,22800, 科技园,3室2厅3卫 150.00㎡ 东南向 豪华装修 
皇岗村 2室1厅2卫,4500, 福田中心区,2室1厅2卫 60㎡ 南向 精装修 
1个月起租，租金打折！加福广场 独立密码锁 舒适更安全,2450, 保税区,1室1卫 22.00㎡ 东向 精装修 
公明小学近盛装百货 三和百货 家电齐全 400起租 热租房,450, 公明,1室1卫 20㎡ 南向 精装修 
直租免坪洲西乡双地铁永丰社区近天虹精装一房一厅,2870, 西乡,1室1厅1卫 36.0㎡ 南向 精装修 
和成世纪名园 1室0厅1卫,900, 坂田,1室1卫 25㎡ 南北向 精装修 
精装修，可拎包入住，靠山，看花园，诚租,15000, 水库,3室2厅3卫 148㎡ 南北向 精装修 
南山区7号线龙井地铁站近地铁两房一厅,3880, 西丽,2室1厅2卫 42㎡ 南向 精装修 
温馨复式 坂田 布龙 长坑小区 直租 家私齐全 随时可住,1480, 坂田,1室1厅1卫 40.00㎡ 南向 精装修 
植物园路184-367号小区 1室0厅1卫,650, 龙岗中心城,1室1卫 20㎡ 南向 精装修 
上班的看过来！鲁班大厦 精装大单间 拎包入住，无中介 独立厨,2440, 景田北,1室1卫 23.00㎡ 南向 精装修 
南山西丽附近，精装修大单间，阳光电梯房,1600, 西丽,1室1卫 20㎡ 南向 精装修 
晒布地铁口  独门独户大单间,999, 东门,1室1卫 16㎡ 南向 精装修 
宝龙小区 1室 1厅1卫,900, 南联,1室1厅1卫 48㎡ 南向 精装修 
观澜福安阁 一房一厅带大阳台 采光通风好 家私家电齐全可议价,1100, 龙华区政府,1室1厅1卫 42㎡ 南北向 精装修 
可做饭，通风好，交通便利，家私齐，房.东直.租，拎包入住,1450, 车公庙,1室1卫 14㎡ 南北向 精装修 
观澜招商澜园 精装三房89平 轻轨口近地铁 带外龙华国语,4900, 观澜,3室2厅3卫 88.86㎡ 南向 简单装修 
常丰花园 3室2厅1卫,6400, 南头,3室2厅3卫 86㎡ 南北向 简单装修 
清湖小学旁豪华品牌白领公寓 前后无遮挡 通天然气 押一付一,1700, 清湖,1室1厅1卫 40㎡ 南向 豪华装修 
溢芳园 2室2厅1卫 4000元月 62平 电梯房,4000, 百鸽笼,2室2厅2卫 62㎡ 西向 简单装修 
凤凰世纪花园 3室 2厅2卫,3900, 塘尾,3室2厅3卫 120㎡ 南北向 精装修 
房子名称,房子价格,房子地段,房子简介
（简约实拍）皇御苑温馨新装1房1拎包入住,4200, 赤尾,1室1厅1卫 47.00㎡ 南向 精装修 
龙岗区爱联地铁口缤纷世纪龙翔大道五龙山茶庄免中介精装修有停车,2325, 爱联,2室1厅2卫 54㎡ 东南向 精装修 
布吉地铁口，龙珠花园精装两房，家私家电齐全，拎包入住。,4200, 布吉关,2室2厅2卫 72㎡ 北向 精装修 
碧家公寓 地铁口 押一付一 大单间采光好 可短租 拎包入住,1751, 民治,1室1卫 28㎡ 东南向 精装修 
深城投中心公馆，温馨小户型单间出租，精装修公寓.带齐家私,1600, 坪山,1室1卫 25㎡ 南向 精装修 
整租 | 景田南 香蜜三村 3室2厅,10000, 景田南,3室2厅3卫 126㎡ 西向 精装修 
世纪春城大三房 南北通透  业主诚心出租 价格可谈！,4800, 民治,3室2厅3卫 101㎡ 南北向 精装修 
中泰燕南名庭精装三房出租 随时看房业主自住干净整洁采光好,13000, 华强北,3室1厅3卫 107㎡ 东南向 豪华装修 
实拍新港鸿 电梯5房随时入住,8300, 翠竹,5室1厅5卫 139.16㎡ 南向 精装修 
全新精装三房 出租 位置安静 带家电 急租 看房方便,3600, 龙岗中心城,3室2厅3卫 89.00㎡ 西南向 精装修 
京基御景峯 精装单间 家电齐全 近 塘朗城 崇文花园,4300, 大学城,1室1卫 40㎡ 南向 精装修 
平湖直租！华南城10号公馆 大复式 家私电齐全 押一付一,1600, 平湖,1室1厅1卫 15㎡ 东南向 精装修 
梅林二村 舒适楼层南向二房 状态好家私齐全 车位充足随时入住,5400, 下梅林,2室2厅2卫 76㎡ 南北向 精装修 
世界500强商场，深圳北站，周边配套齐全，2房2厅，拎包入住,7200, 民治,2室2厅2卫 60㎡ 南向 精装修 
佳华领域广场 3室2厅2卫 4600元月 配套齐全,4600, 观澜,3室2厅3卫 89㎡ 南向 精装修 
1个月起租，租金打折！加福广场 独立密码锁 舒适更安全,2450, 保税区,1室1卫 22.00㎡ 东向 精装修 
公明小学近盛装百货 三和百货 家电齐全 400起租 热租房,450, 公明,1室1卫 20㎡ 南向 精装修 
直租免坪洲西乡双地铁永丰社区近天虹精装一房一厅,2870, 西乡,1室1厅1卫 36.0㎡ 南向 精装修 
君逸华府 1室1厅1卫,3250, 布心,1室1厅1卫 45.72㎡ 东南向 精装修 
精装修，可拎包入住，靠山，看花园，诚租,15000, 水库,3室2厅3卫 148㎡ 南北向 精装修 
南山区7号线龙井地铁站近地铁两房一厅,3880, 西丽,2室1厅2卫 42㎡ 南向 精装修 
温馨复式 坂田 布龙 长坑小区 直租 家私齐全 随时可住,1480, 坂田,1室1厅1卫 40.00㎡ 南向 精装修 
南贸花园 4室1厅2卫,7300, 南头,4室1厅4卫 110㎡ 南北向 简单装修 
上班的看过来！鲁班大厦 精装大单间 拎包入住，无中介 独立厨,2440, 景田北,1室1卫 23.00㎡ 南向 精装修 
南山西丽附近，精装修大单间，阳光电梯房,1600, 西丽,1室1卫 20㎡ 南向 精装修 
晒布地铁口  独门独户大单间,999, 东门,1室1卫 16㎡ 南向 精装修 
鸿荣源壹成中心花园 3室2厅1卫,7000, 龙华,3室2厅3卫 73㎡ 南向 豪华装修 
观澜福安阁 一房一厅带大阳台 采光通风好 家私家电齐全可议价,1100, 龙华区政府,1室1厅1卫 42㎡ 南北向 精装修 
可做饭，通风好，交通便利，家私齐，房.东直.租，拎包入住,1450, 车公庙,1室1卫 14㎡ 南北向 精装修 
观澜招商澜园 精装三房89平 轻轨口近地铁 带外龙华国语,4900, 观澜,3室2厅3卫 88.86㎡ 南向 简单装修 
华丰前海湾 3室2厅2卫,7500, 西乡,3室2厅3卫 83㎡ 西北向 豪华装修 
清湖小学旁豪华品牌白领公寓 前后无遮挡 通天然气 押一付一,1700, 清湖,1室1厅1卫 40㎡ 南向 豪华装修 
溢芳园 2室2厅1卫 4000元月 62平 电梯房,4000, 百鸽笼,2室2厅2卫 62㎡ 西向 简单装修 
离地铁300米 周末活动 签约减免500元 民水民电 精装,1310, 大浪,1室1卫 35㎡ 南向 精装修 
星海名城(三期) 3室2厅1卫,10000, 前海,3室2厅3卫 92㎡ 东向 精装修 
南头关 金鸿凯旋城对面 中南花园 住家大两房 拎包入住,5300, 宝安中心区,2室2厅2卫 89㎡ 南向 精装修 
良心推荐租这套房子很舒适 南北通透 适合一家子人住 采光又好,4200, 上水径,3室2厅3卫 94㎡ 南北向 精装修 
天地峰景园 3室2厅1卫 7500元月 南北通透 86平,7500, 桃源村,3室2厅3卫 86.53㎡ 南北向 精装修 
豪方天际 4室 2厅1卫,8700, 科技园,4室2厅4卫 90㎡ 东南向 精装修 
都汇中心 1室1厅1卫 4300元月 家具家电齐全,4300, 蔡屋围,1室1厅1卫 40㎡ 南向 精装修 
南山西丽地铁附近，精装修大单间，阳光好，拎包住,1780, 西丽,1室1卫 22㎡ 南向 精装修 
整租固戍 地铁一号线 精装公寓 家私家电齐全 拎包入住,1010, 西乡,1室1卫 28㎡ 南向 精装修 
西头东苑 1室0厅1卫,1100, 龙华,1室1卫 30㎡ 南北向 精装修 
红山6979精装两房 生活购物交通方便 资源多 好两房任选,2500, 民治,2室1厅2卫 45㎡ 东南向 精装修 
银座金钻 2室1厅1卫 5000元月 精装修 电梯房,5000, 人民南,2室1厅2卫 55.47㎡ 东南向 精装修 
星河世纪大厦 3室1厅1卫 7100元月 精装修 电梯房,7800, 福田中心区,3室1厅3卫 88㎡ 南向 精装修 
幸福万象大厦 2室1厅1卫,6200, 人民南,2室1厅2卫 49㎡ 南向 精装修 
布吉地铁附近 一手房东  家具齐全 拎包入住,2400, 坂田,1室1厅1卫 32㎡ 南向 精装修 
双玺花园 三期，小面积1房1厅出租，高层，东南看海，漂亮,17500, 蛇口,1室1厅1卫 88.00㎡ 东北向 豪华装修 
荟芳园 3室2厅1卫,7100, 南山地铁口,3室2厅3卫 116.19㎡ 南向 精装修 
房子名称,房子价格,房子地段,房子简介
应人石村委花园清雅苑3房1厅出租,3600, 石岩,3室1厅3卫 108㎡ 东南向 简单装修 
刚空出来  颐安二期 客厅出阳台 家电全齐 价钱可谈 急租,4000, 大运,2室2厅2卫 77.2㎡ 南向 精装修 
丰华苑 2室2厅1厨1卫 78.0m 整租,7000, 新安,2室2厅2卫 78㎡ 东北向 简单装修 
采光好，高楼层，干净整齐一房一厅出租，布吉南岭村玉岭花园,1700, 大芬,1室1厅1卫 35㎡ 东向 精装修 
信和自由广场 2室1厅 西南 随时可约看房,7300, 南油,2室1厅2卫 71.00㎡ 西南向 简单装修 
毕业季大量优惠!!!（上梅林）直达（福田）个人房东直租 便利,1380, 上梅林,1室1卫 14㎡ 南北向 精装修 
中粮天悦壹号  精装3房2厅  家私电器全齐 看房方便,9100, 新安,3室2厅3卫 89㎡ 东南向 豪华装修 
出租阳基春天里精装一房 诚心租 只此一套 看房方便 拎包入住,2800, 丹竹头,1室1厅1卫 50.00㎡ 西南向 简单装修 
近华为 电梯精装三房出租 可配家私 业主急租,6500, 万科城,3室2厅3卫 115㎡ 南北向 简单装修 
承翰学校 慢城电梯三房 看花园安静舒适,4500, 慢城,3室2厅3卫 78㎡ 东南向 精装修 
临近宝中 近洪浪北地铁站 出行方便 周边配套齐全  拎包入住,4300, 新安,2室1厅2卫 45㎡ 东南向 精装修 
奥宸观壹城住宅洋房出租，豪华装修！家私电器齐全！拎包入住,4500, 观澜,3室2厅3卫 89㎡ 南向 豪华装修 
黄贝岭地铁口 华裕花园 90平大2房 大阳台，交通便利,5500, 黄贝岭,2室1厅2卫 90㎡ 南北向 豪华装修 
实图实价，诚意招租，4号6号线元芬站50米,1300, 龙华,1室1厅1卫 28㎡ 南向 精装修 
华强北地铁口茂业天地楼上近电子市场，办公，住家两用,5000, 华强北,1室1厅1卫 35㎡ 东向 精装修 
观澜招商澜园 精装三房89平 轻轨口近地铁 带外龙华国语,4900, 观澜,3室2厅3卫 88.86㎡ 南向 简单装修 
清湖小学旁豪华品牌白领公寓 前后无遮挡 通天然气 押一付一,1700, 清湖,1室1厅1卫 40㎡ 南向 豪华装修 
溢芳园 2室2厅1卫 4000元月 62平 电梯房,4000, 百鸽笼,2室2厅2卫 62㎡ 西向 简单装修 
万科城 1室0厅1卫,1180, 万科城,1室1卫 23㎡ 南向 精装修 
精装公寓商业中心附近精装修房 免费停车场 独立厨卫 家电齐全,1000, 大浪,1室1厅1卫 40㎡ 东南向 精装修 
离地铁300米 周末活动 签约减免500元 民水民电 精装,1310, 大浪,1室1卫 35㎡ 南向 精装修 
南头关 金鸿凯旋城对面 中南花园 住家大两房 拎包入住,5300, 宝安中心区,2室2厅2卫 89㎡ 南向 精装修 
金海花园(南山) 1室1厅1卫,2780, 南山医院,1室1厅1卫 35㎡ 南向 精装修 
良心推荐租这套房子很舒适 南北通透 适合一家子人住 采光又好,4200, 上水径,3室2厅3卫 94㎡ 南北向 精装修 
天地峰景园 3室2厅1卫 7500元月 南北通透 86平,7500, 桃源村,3室2厅3卫 86.53㎡ 南北向 精装修 
都汇中心 1室1厅1卫 4300元月 家具家电齐全,4300, 蔡屋围,1室1厅1卫 40㎡ 南向 精装修 
径贝华侨新村 2室1厅1卫,3200, 宝安中心区,2室1厅2卫 70㎡ 南向 简单装修 
南山西丽地铁附近，精装修大单间，阳光好，拎包住,1780, 西丽,1室1卫 22㎡ 南向 精装修 
整租固戍 地铁一号线 精装公寓 家私家电齐全 拎包入住,1010, 西乡,1室1卫 28㎡ 南向 精装修 
近梅林地铁站 整租单间 拎包入住,2000, 上梅林,1室1厅1卫 40㎡ 南向 精装修 
招商花园城 3室2厅1卫,3300, 坪山,3室2厅3卫 89㎡ 东南向 豪华装修 
红山6979精装两房 生活购物交通方便 资源多 好两房任选,2500, 民治,2室1厅2卫 45㎡ 东南向 精装修 
银座金钻 2室1厅1卫 5000元月 精装修 电梯房,5000, 人民南,2室1厅2卫 55.47㎡ 东南向 精装修 
星河世纪大厦 3室1厅1卫 7100元月 精装修 电梯房,7800, 福田中心区,3室1厅3卫 88㎡ 南向 精装修 
联建君钰府 2室1厅1卫,3998, 新安,2室1厅2卫 63㎡ 南北向 精装修 
布吉地铁附近 一手房东  家具齐全 拎包入住,2400, 坂田,1室1厅1卫 32㎡ 南向 精装修 
东门商圈 地铁口 临近公园学校  随时看房,8300, 东门,3室2厅3卫 89㎡ 西南向 精装修 
双玺花园 三期，小面积1房1厅出租，高层，东南看海，漂亮,17500, 蛇口,1室1厅1卫 88.00㎡ 东北向 豪华装修 
港湾生活小区(赤湾生活小区) 2室2厅1卫,5000, 蛇口,2室2厅2卫 70㎡ 南北向 简单装修 
坪洲地铁  情侣温馨一房家的感觉  随时看房  电梯,1800, 坪洲,1室1厅1卫 38㎡ 东南向 精装修 
微棠公寓 周末活动 签约减免500元 双地铁 民水电,1799, 龙华,1室1厅1卫 45㎡ 东向 精装修 
直租 华强北 华新地铁口 群星广场 田面 单间 拎包入住押一,1400, 华强北,1室1卫 14㎡ 南北向 精装修 
桂花路214号小区 1室0厅1卫,450, 观澜,1室1卫 16㎡ 南向 精装修 
科技园精装大两房 花园社区 紧邻科兴科学园 家私齐全,7800, 科技园,2室2厅2卫 80㎡ 南北向 精装修 
民治地铁独栋三层别墅 豪华装修 自住办公接待均可 梅花山庄,21000, 民治,6室2厅6卫 460㎡ 东南向 豪华装修 
公明南庄 宽敞舒适一房 环境优美采光好 配置齐全 停车方便,1100, 公明,1室1厅1卫 54.00㎡ 南向 精装修 
福岗园大厦 2室1厅1卫,5890, 福田中心区,2室1厅2卫 60㎡ 南向 简单装修 
1号线西乡站 精美一室一厅带阳台 全新出租,1650, 西乡,1室1卫 33.00㎡ 东向 精装修 
可短租福田上梅林红山地铁已交一年网费好停车精装修随时看房入住,1800, 民治,1室1厅1卫 25㎡ 南向 精装修 
白石龙老村 3室2厅1卫,3500, 梅林关口,3室2厅3卫 86㎡ 东向 简单装修 
房子名称,房子价格,房子地段,房子简介
0中介 康乐园精装单间 近南山书城 凯德一号 来福士 便利,2200, 南山中心区,1室1卫 20㎡ 南向 精装修 
精装4房 全新装修 南北通透采光好 价格较同户型便宜,4300, 盐田,4室2厅4卫 77㎡ 北向 精装修 
新出龙泉别墅 7房4卫独栋别墅大花园 豪华装修漂亮 私密安静,14000, 丹竹头,8室2厅8卫 235.00㎡ 南北向 精装修 
免中介两房一厅超大阳台户型方正采光通风好，干净舒适好停车,2298, 大浪,2室1厅2卫 36㎡ 南北向 精装修 
中粮云景，不收中借费，可免租半个月，豪华装修两房一厅一卫急租,2800, 公明,2室1厅2卫 48㎡ 南向 精装修 
睿智华庭 5室2厅 南,7500, 大运,5室2厅5卫 144㎡ 南向 精装修 
万科直推保养非常好，白石龙地铁公园100米。看房方便,7500, 龙华,2室2厅2卫 85㎡ 东南向 精装修 
招商果岭 全齐拎包 南北通 户型非常好 看房随时 方便,6300, 西乡,3室2厅3卫 85㎡ 东南向 精装修 
深圳湾科技生态园 2室2厅1卫 10000元月 电梯房,10000, 科技园,2室2厅2卫 80㎡ 南向 精装修 
中海大山地花园 高楼层三房，朝南向看园景，位置安静,4000, 横岗,3室2厅3卫 89㎡ 南向 精装修 
秋硕小学旁光明峯荟小区自带花园游泳池家私齐全拎包入住,3900, 公明,3室2厅3卫 89.00㎡ 南向 精装修 
3号线丹竹头地铁站，家电齐全，拎包入住，设施完善，近星悦天地,4350, 丹竹头,2室2厅2卫 75.08㎡ 南向 精装修 
劲爆特价 万象天地，科技园旁万科云城豪装三房出租！随时看房,9900, 西丽,3室2厅3卫 99㎡ 南向 精装修 
近清湖站  清湖名苑 电梯大2房  朝南 厅出阳台视野无遮挡,3800, 清湖,2室2厅2卫 85.00㎡ 南北向 豪华装修 
喜讯！博林天瑞 精装大三房 实图实价 家电齐全 本人亲自拍摄,11000, 大学城,3室2厅3卫 89㎡ 南向 精装修 
离地铁300米 周末活动 签约减免500元 民水民电 精装,1310, 大浪,1室1卫 35㎡ 南向 精装修 
南头关 金鸿凯旋城对面 中南花园 住家大两房 拎包入住,5300, 宝安中心区,2室2厅2卫 89㎡ 南向 精装修 
良心推荐租这套房子很舒适 南北通透 适合一家子人住 采光又好,4200, 上水径,3室2厅3卫 94㎡ 南北向 精装修 
华联花园 2室1厅1卫,4700, 南山中心区,2室1厅2卫 65㎡ 南向 精装修 
天地峰景园 3室2厅1卫 7500元月 南北通透 86平,7500, 桃源村,3室2厅3卫 86.53㎡ 南北向 精装修 
都汇中心 1室1厅1卫 4300元月 家具家电齐全,4300, 蔡屋围,1室1厅1卫 40㎡ 南向 精装修 
南山西丽地铁附近，精装修大单间，阳光好，拎包住,1780, 西丽,1室1卫 22㎡ 南向 精装修 
大朗山东宝小区 1室0厅1卫,1380, 马安山,1室1卫 35㎡ 南向 精装修 
整租固戍 地铁一号线 精装公寓 家私家电齐全 拎包入住,1010, 西乡,1室1卫 28㎡ 南向 精装修 
近梅林地铁站 整租单间 拎包入住,2000, 上梅林,1室1厅1卫 40㎡ 南向 精装修 
红山6979精装两房 生活购物交通方便 资源多 好两房任选,2500, 民治,2室1厅2卫 45㎡ 东南向 精装修 
怡康家园 3室1厅1卫,4000, 大芬,3室1厅3卫 70㎡ 东向 简单装修 
银座金钻 2室1厅1卫 5000元月 精装修 电梯房,5000, 人民南,2室1厅2卫 55.47㎡ 东南向 精装修 
星河世纪大厦 3室1厅1卫 7100元月 精装修 电梯房,7800, 福田中心区,3室1厅3卫 88㎡ 南向 精装修 
布吉地铁附近 一手房东  家具齐全 拎包入住,2400, 坂田,1室1厅1卫 32㎡ 南向 精装修 
万科城 1室0厅1卫,1180, 万科城,1室1卫 23㎡ 南向 精装修 
东门商圈 地铁口 临近公园学校  随时看房,8300, 东门,3室2厅3卫 89㎡ 西南向 精装修 
双玺花园 三期，小面积1房1厅出租，高层，东南看海，漂亮,17500, 蛇口,1室1厅1卫 88.00㎡ 东北向 豪华装修 
坪洲地铁  情侣温馨一房家的感觉  随时看房  电梯,1800, 坪洲,1室1厅1卫 38㎡ 东南向 精装修 
金海花园(南山) 1室1厅1卫,2780, 南山医院,1室1厅1卫 35㎡ 南向 精装修 
微棠公寓 周末活动 签约减免500元 双地铁 民水电,1799, 龙华,1室1厅1卫 45㎡ 东向 精装修 
直租 华强北 华新地铁口 群星广场 田面 单间 拎包入住押一,1400, 华强北,1室1卫 14㎡ 南北向 精装修 
科技园精装大两房 花园社区 紧邻科兴科学园 家私齐全,7800, 科技园,2室2厅2卫 80㎡ 南北向 精装修 
径贝华侨新村 2室1厅1卫,3200, 宝安中心区,2室1厅2卫 70㎡ 南向 简单装修 
民治地铁独栋三层别墅 豪华装修 自住办公接待均可 梅花山庄,21000, 民治,6室2厅6卫 460㎡ 东南向 豪华装修 
公明南庄 宽敞舒适一房 环境优美采光好 配置齐全 停车方便,1100, 公明,1室1厅1卫 54.00㎡ 南向 精装修 
1号线西乡站 精美一室一厅带阳台 全新出租,1650, 西乡,1室1卫 33.00㎡ 东向 精装修 
招商花园城 3室2厅1卫,3300, 坪山,3室2厅3卫 89㎡ 东南向 豪华装修 
可短租福田上梅林红山地铁已交一年网费好停车精装修随时看房入住,1800, 民治,1室1厅1卫 25㎡ 南向 精装修 
急租南油新一代国际公寓，近沃尔玛，精装修，看房方便,5300, 南油,1室1厅1卫 40.0㎡ 南北向 精装修 
每天都在找房子，很累吧，来我这里看看吧。,1680, 固戍,1室1厅1卫 30.00㎡ 南向 精装修 
联建君钰府 2室1厅1卫,3998, 新安,2室1厅2卫 63㎡ 南北向 精装修 
金地上塘道(一期) 带厨房可烧饭，提供免费wifi  精致居,1660, 民治,1室1卫 19.00㎡ 东向 精装修 
麒麟苑 单间900元月 南北通透 电梯房 配套齐全 可一押,900, 大学城,1室1卫 14.99㎡ 东南向 精装修 
港湾生活小区(赤湾生活小区) 2室2厅1卫,5000, 蛇口,2室2厅2卫 70㎡ 南北向 简单装修 
房子名称,房子价格,房子地段,房子简介
(新)魔方公寓直租月付电梯房独立卫生间随时看房带车位,2100, 龙华,1室1厅1卫 30㎡ 南北向 精装修 
近清湖北地铁站500米 经济实惠大单间1680包管理独立阳台,1680, 清湖,1室1卫 36.5㎡ 西南向 精装修 
1983创意小镇近木棉湾地铁站，大芬地铁站，精装公寓拎包入住,2300, 横岗,1室1厅1卫 35㎡ 南向 精装修 
大浪南路（单间）靠近宝科工业区采光通风无中介实惠出租领包入住,699, 大浪,1室1卫 20㎡ 南向 精装修 
阳光绿地家园精装两房全齐出租，靠山，空气好，安静,5200, 翠竹,2室2厅2卫 57㎡ 东向 精装修 
精装公寓 拎包入住 大阳台光线好 有停车位 11号线碧海湾站,2880, 碧海湾,1室1厅1卫 48㎡ 东北向 精装修 
7号线地铁口旁，祥福雅居近九号线，正规大两房诚心出租,4225, 笋岗,2室2厅2卫 63.15㎡ 南向 简单装修 
固戍地铁醉低单间900起 直租 无中介 带家具家电 拎包入住,1099, 领航城,1室1卫 18㎡ 南北向 精装修 
免俑！金领假日~全新2房~豪华装修~带车位~拎包住~近地铁,5000, 赤尾,2室2厅2卫 85㎡ 东南向 豪华装修 
朵拉 特价大单间880 实拍 近福永地铁站 同泰时代中心,1280, 福永,1室1卫 20㎡ 南向 精装修 
实图实价单间，家私齐全拎包入住,700, 大浪,1室1卫 28㎡ 南向 简单装修 
美中学校对面 3室2厅1卫 家私家电佩琪 世纪广场  天虹,3200, 龙华区政府,3室2厅3卫 87.00㎡ 南向 精装修 
园岭新村业主诚心出租,6800, 园岭,2室2厅2卫 74.95㎡ 南北向 精装修 
绿谷正规二房 朝南方正厅出户型 家私全有 价格可谈！！,4300, 慢城,2室2厅2卫 82㎡ 南向 精装修 
